"sid","strain","trt","sex","time","normalized_bdnf_amygdala_pg_mg","normalized_bdnf_cortex_pg_mg","normalized_bdnf_hypothalamus_pg_mg","normalized_cd68_amygdala_pg_mg","normalized_cd68_cortex_pg_mg","normalized_cd68_hypothalamus_pg_mg","normalized_map2_cortex_pg_mg","mirna1","mirna2","learning_outcome","preference_obj1","preference_obj2","time_month"
137,"C3H","-","M","tp1",492.483105849444,720.017330352302,NA,988.962849307318,8.39370734498188,NA,352.965284,5.26302,1.65362,3.52,41.722049918771226,58.27795008122877,"1 month"
137,"C3H","-","M","tp2",275.162306505571,NA,1169.28453390934,574.065461512039,NA,6800.870311534106,NA,-0.0491371,-0.0773419,19.81,37.51387347391786,62.48612652608213,"6 months"
137,"C3H","-","M","tp3",NA,871.828613866771,NA,NA,NA,NA,2693.9385591161445,-0.736731,0.147994,2.44,55.967682702901214,44.03231729709879,"12 months"
138,"C3H","-","M","tp1",453.663517599168,884.566821442264,1215.81466709091,775.597001258362,7.9013655450753,4373.81103788322,1007.414734,6.78336,-0.279424,1.56,74.11971830985917,25.880281690140844,"1 month"
138,"C3H","-","M","tp2",491.73355079208267,NA,1078.64011195678,407.582562730378,NA,4461.627780634759,NA,-1.52482,0.842448,14.48,65.46974913920315,34.530250860796855,"6 months"
138,"C3H","-","M","tp3",NA,793.4333358291061,NA,NA,8.873104419778459,NA,644.9745015213815,-0.259656,-0.225338,1.11,69.00665926748057,30.993340732519425,"12 months"
139,"C3H","-","M","tp1",971.874084704599,1148.28618715753,638.274714128757,2045.31413050686,12.7799257996598,2951.59892013116,1739.4782,7.88867,-0.637886,0,52.90954484347993,47.09045515652007,"1 month"
139,"C3H","-","M","tp2",365.0235468203302,NA,1001.43130239567,504.647015183536,NA,4837.6616495858425,NA,-1.03223,-0.559009,0,47.115384615384606,52.884615384615365,"6 months"
139,"C3H","-","M","tp3",NA,712.3803166276681,NA,NA,10.826861412643778,NA,1677.7607383855402,1.21564,1.39181,73.22,66.8530757498729,33.14692425012709,"12 months"
140,"C3H","-","M","tp1",506.023795194705,875.95127584429,979.14484478201,692.513884832399,11.8699208616765,3267.76130724732,514.0121164,7.28342,0.370814,7.33,68.1836542345496,31.816345765450382,"1 month"
140,"C3H","-","M","tp2",496.05254561466245,NA,1302.96538637817,464.239600673902,NA,3814.3935316648744,NA,-0.387369,0.528042,0,42.94462873181934,57.05537126818066,"6 months"
140,"C3H","-","M","tp3",NA,1485.8192426950163,NA,NA,6.832955696538574,NA,7735.00537149898,0.350375,0.903154,0,66.8530757498729,33.14692425012709,"12 months"
33,"C3H","+","M","tp1",640.035893728877,769.481832070497,1071.35644268579,776.106636759135,14.252371812882,4417.33175578438,885.372771,6.92648,0.551749,26.37,46.30057803468209,53.69942196531793,"1 month"
33,"C3H","+","M","tp2",416.5435849869104,NA,1166.81363881238,538.670934668803,NA,6923.348381675085,NA,-1.06933,0.803925,13.33,60.73684210526316,39.26315789473684,"6 months"
33,"C3H","+","M","tp3",NA,607.5198123150512,NA,NA,20.610409598578272,NA,981.276602213304,NA,NA,7.7,45.34501642935378,54.65498357064622,"12 months"
34,"C3H","+","M","tp1",608.927870708405,893.173790632922,1559.91427249022,898.904019690681,10.6957011622811,5376.587574774,696.9615994,6.80169,1.2428,19.74,68.0115273775216,31.98847262247838,"1 month"
34,"C3H","+","M","tp2",NA,NA,1151.98813474109,539.723301573124,NA,7552.1714940194515,NA,NA,NA,3.48,52.750944981100375,47.24905501889962,"6 months"
34,"C3H","+","M","tp3",NA,826.7347608924839,NA,NA,9.736616126453235,NA,1864.4186066607906,0.629437,2.10542,3.67,45.69572279371955,54.30427720628046,"12 months"
35,"C3H","+","M","tp1",404.722562290033,763.959813482731,858.953261793699,573.033504896701,12.505681726609,2586.23674477907,308.8224002,6.19178,1.63746,52.56,27.895678854512912,72.10432114548709,"1 month"
35,"C3H","+","M","tp2",313.81984631253954,NA,1194.18916127355,613.886772763367,NA,5253.606583528043,NA,0.355194,-0.474012,12.07,66.56879194630872,33.43120805369127,"6 months"
35,"C3H","+","M","tp3",NA,989.2155524320176,NA,NA,17.460751059476777,NA,734.9906502824882,0.232457,1.20022,7.11,33.10616929698709,66.89383070301291,"12 months"
36,"C3H","+","M","tp1",542.232860718372,1018.69733380772,785.735060361199,742.570783223769,13.392316190359,2774.36217844793,1921.310812,5.90795,1.51061,64.59,84.93506493506494,15.064935064935064,"1 month"
36,"C3H","+","M","tp2",458.709823138337,NA,1067.69812000413,679.6230726826,NA,3253.592567976809,NA,-0.777202,-0.714284,36.3,47.90490341753343,52.09509658246656,"6 months"
36,"C3H","+","M","tp3",NA,1494.6552289088545,NA,NA,15.177629869924852,NA,4475.990061289586,-0.915237,0.72030400000000006,8.67,42.74973147153598,57.250268528464005,"12 months"
180,"Balb/C","-","M","tp1",683.914397409934,822.506192593283,NA,824.197678487583,17.2056788874678,NA,691.9070032,3.87255,2.02452,21.15,NA,NA,"1 month"
180,"Balb/C","-","M","tp2",751.0620434549048,NA,1159.1827994936,727.196744891418,NA,7386.995524081885,NA,0.100128,-0.301721,NA,59.03405142460042,40.965948575399594,"6 months"
180,"Balb/C","-","M","tp3",NA,1146.6212887430013,NA,NA,11.609326987558678,NA,2528.604901624394,0.747581,0.279602,44.52,63.18681318681318,36.81318681318681,"12 months"
181,"Balb/C","-","M","tp1",655.744970182008,750.17257191421,1322.5107962213226,719.24602322656,9.0425284587432,6898.278002699054,880.4028379,5.53489,-0.0285415,5.78,NA,NA,"1 month"
181,"Balb/C","-","M","tp2",583.7641685898215,NA,1234.63164270657,562.075587563998,NA,6480.324522029398,NA,-0.570844,1.21222,NA,52.502274795268434,47.49772520473158,"6 months"
181,"Balb/C","-","M","tp3",NA,1073.623673020636,NA,NA,12.27187130463721,NA,1684.2012012283922,0.742382,-0.951359,0,75.55331991951712,24.446680080482896,"12 months"
182,"Balb/C","-","M","tp1",839.222273857482,1161.43437197556,1323.1462353017605,956.172423043701,11.0047736177659,6766.351804932978,1188.102564,4.77908,-0.0924431,18.96,90.49107142857144,9.508928571428573,"1 month"
182,"Balb/C","-","M","tp2",714.5112060123095,NA,1064.11038968885,1087.43484046977,NA,5772.176744014579,NA,-0.927111,1.69349,NA,92.11431595660227,7.885684043397724,"6 months"
182,"Balb/C","-","M","tp3",NA,1073.0733031255293,NA,NA,11.347371587412857,NA,1556.4343759155825,0.152901,0.289198,8.15,60.45939294503692,39.54060705496309,"12 months"
183,"Balb/C","-","M","tp1",717.613362213359,928.206596541234,1076.2781577897808,905.09834116825,13.3415508117017,3853.824446155944,1119.687122,7.46526,1.1332,27.19,45.23107177974434,54.768928220255646,"1 month"
183,"Balb/C","-","M","tp2",741.3236637153782,NA,1081.3330251361,580.607039437304,NA,4882.719540686166,NA,0.878918,0.556938,22.67,45.06549292040091,54.9345070795991,"6 months"
183,"Balb/C","-","M","tp3",NA,1447.7414692959105,NA,NA,10.436962571448593,NA,2624.8519596846945,-0.873083,-0.970351,0,38.091143594153046,61.908856405846954,"12 months"
192,"Balb/C","+","M","tp1",361.290024975431,1245.94492344752,1116.611172182042,499.027308746639,11.9655026892099,3891.925678166621,1884.591711,5.28237,0.524118,15,0,100,"1 month"
192,"Balb/C","+","M","tp2",553.2401617311031,NA,1104.14746536018,533.150423198219,NA,4351.042904560914,NA,-0.232479,0.111857,NA,30.888030888030887,69.1119691119691,"6 months"
192,"Balb/C","+","M","tp3",NA,2964.459585732521,NA,NA,5.612729616408051,NA,14077.189287911764,0.925186,1.0731,25.74,72.05882352941178,27.94117647058824,"12 months"
193,"Balb/C","+","M","tp1",428.656373411586,1005.6600538685,856.5998364638228,871.154240447539,25.6939975321165,2914.9217769808865,796.7218199,NA,NA,0,99.59477712742007,0.40522287257991896,"1 month"
193,"Balb/C","+","M","tp2",885.2003025043701,NA,1203.44860534341,642.464809570226,NA,5653.482578290242,NA,1.00454,-0.0324069,NA,49.06279287722587,50.93720712277414,"6 months"
193,"Balb/C","+","M","tp3",NA,1224.675158155186,NA,NA,27.80704987963965,NA,1508.5714971616208,-1.26099,-1.3085,0,51.19305856832972,48.80694143167028,"12 months"
194,"Balb/C","+","M","tp1",349.992998185393,889.306333435003,975.9441098348651,609.51172491421,17.7624641877372,3009.4320053597116,653.0262389,6.7367,-1.13971,0,62.92691559016104,37.07308440983896,"1 month"
194,"Balb/C","+","M","tp2",NA,NA,1152.26586965454,502.308838856005,NA,4335.294123679067,NA,0.790393,0.120351,NA,NA,NA,"6 months"
194,"Balb/C","+","M","tp3",NA,2393.762305337868,NA,NA,19.117786754018436,NA,5206.215423257224,-0.0830464,0.631054,0,40.083333333333336,59.91666666666666,"12 months"
195,"Balb/C","+","M","tp1",730.624582656542,879.886293873146,1035.351191386503,752.881106849436,18.3333235311752,3178.1235033649023,1427.252751,6.44184,-1.13433,29.52,35.46587926509186,64.53412073490814,"1 month"
195,"Balb/C","+","M","tp2",606.1480693206322,NA,1524.62208438571,545.57309374367,NA,5215.081672483506,NA,2.08142,0.233791,NA,NA,NA,"6 months"
195,"Balb/C","+","M","tp3",NA,2054.113188266064,NA,NA,6.31145783033911,NA,8068.94213629164,0.963486,-0.624468,1.7,58.54700854700855,41.45299145299145,"12 months"
156,"C3H","-","F","tp1",NA,869.416869846812,NA,469.211601746383,31.0885685850093,NA,496.9633974,6.23412,-0.444021,1.11,30.00984736582964,69.99015263417037,"1 month"
156,"C3H","-","F","tp2",NA,NA,1735.62868850622,743.085578588009,NA,11867.444227241245,NA,-0.382416,-0.205004,NA,67.23768736616702,32.76231263383298,"6 months"
156,"C3H","-","F","tp3",NA,1028.5573676435351,NA,NA,20.89009626449118,NA,1217.8341038716196,0.148978,0.707334,15.48,58.20947515095215,41.79052484904784,"12 months"
157,"C3H","-","F","tp1",401.195276907623,907.872676096767,815.789070036165,480.701057106397,14.1661979174317,3644.696641749921,420.5331411,5.7355,1.38236,3.93,64.16284987277353,35.837150127226465,"1 month"
157,"C3H","-","F","tp2",639.5593022748632,NA,1415.88465390283,617.609683209584,NA,6946.596269826649,NA,-1.184,0.699055,26.685000000000002,78.65219357756672,21.34780642243329,"6 months"
157,"C3H","-","F","tp3",NA,1316.258322340138,NA,NA,8.70698327284505,NA,2603.5362579011235,-1.26099,-1.3085,17.41,39.54579116267588,60.45420883732411,"12 months"
158,"C3H","-","F","tp1",738.09653864908,868.437906347732,877.4192777023621,774.50260588254,11.2706369823418,4927.9504979269905,897.1070077,5.25467,0.47882,33,60.203703703703695,39.79629629629631,"1 month"
158,"C3H","-","F","tp2",383.91480664605706,NA,956.8219980648,462.09700321318,NA,4318.747572910634,NA,-0.529602,-0.499508,9.85,32.91512915129152,67.08487084870849,"6 months"
158,"C3H","-","F","tp3",NA,1278.2909937107756,NA,NA,9.19906008821701,NA,2376.945801519112,-0.173481,2.58739,46.81,35.92302209550962,64.07697790449038,"12 months"
159,"C3H","-","F","tp1",346.576158025934,838.813560999257,874.4918496056541,591.034605255814,46.4914621755204,3326.6721082581116,691.4955359,5.37631,0.307615,4.63,68.48345588235294,31.516544117647065,"1 month"
159,"C3H","-","F","tp2",484.335037729722,NA,1115.62923712787,447.265289426027,NA,4354.519044985054,NA,1.23255,0.726252,39.22,46.185224354132046,53.81477564586796,"6 months"
159,"C3H","-","F","tp3",NA,1663.1317118273855,NA,NA,10.031148232386329,NA,3077.4137520269906,-0.0644791,2.53979,21.78,45.3257790368272,54.6742209631728,"12 months"
168,"C3H","+","F","tp1",381.333972875688,929.524168897658,850.9227245497066,502.053288255289,9.943238511764,4041.8918013591096,601.5344153,6.04675,0.582188,6.74,30.421854673852444,69.57814532614755,"1 month"
168,"C3H","+","F","tp2",585.4689749520506,NA,1980.76463920242,414.946729890331,NA,8624.880075886142,NA,0.874001,0.60294,19.19,31.29194630872483,68.70805369127517,"6 months"
168,"C3H","+","F","tp3",NA,1262.3452253716105,NA,NA,35.04134868813768,NA,2498.27993363929,0.276531,0.709925,29.96,50.47755491881567,49.52244508118434,"12 months"
169,"C3H","+","F","tp1",436.246363639471,877.197346780345,1177.851243724363,NA,18.2475797355903,5660.803878178176,688.1376308,6.62129,-1.02276,2.93,50.78680203045685,49.213197969543145,"1 month"
169,"C3H","+","F","tp2",NA,NA,1164.39989477185,NA,NA,5080.262429357368,NA,NA,NA,1.19,82.064128256513,17.935871743486974,"6 months"
169,"C3H","+","F","tp3",NA,1125.2039305845194,NA,NA,13.369758132244549,NA,3102.887403665464,-0.625127,0.366019,6.15,95.33073929961088,4.6692607003891045,"12 months"
170,"C3H","+","F","tp1",645.455830669515,937.56422801864,729.9032177853904,814.9730527448694,15.0118041421451,2317.9886595737185,887.3056703,5.98122,0.924745,1.3,67.47332611721046,32.526673882789545,"1 month"
170,"C3H","+","F","tp2",NA,NA,1173.46602735119,487.05439541395754,NA,3124.76916501893,NA,0.439737,-0.208677,76,32.51908396946565,67.48091603053436,"6 months"
170,"C3H","+","F","tp3",NA,892.1697657475638,NA,NA,41.978041013410795,NA,1162.9114208880728,2.14641,2.16237,100,33.269598470363285,66.73040152963671,"12 months"
171,"C3H","+","F","tp1",315.264871583976,1065.70996100938,1145.1212260026316,557.996081468502,18.5462631541332,3747.541660254643,1016.921909,5.97909,-0.543552,14,22.10488634329694,77.89511365670305,"1 month"
171,"C3H","+","F","tp2",578.8447158170246,NA,1138.19161952143,459.2343409995633,NA,3632.654895352529,NA,1.3258,0.668743,2.44,22.88732394366197,77.11267605633803,"6 months"
171,"C3H","+","F","tp3",NA,703.6056973826209,NA,NA,41.64478143828142,NA,532.7967252065971,0.114375,-0.29061,2.59,38.0927291886196,61.9072708113804,"12 months"
204,"Balb/C","-","F","tp1",808.241047676155,1142.3383500106,NA,686.26825500524,16.9899880466288,NA,1315.241557,5.73992,0.168071,2.26,100,0,"1 month"
204,"Balb/C","-","F","tp2",738.6748529969218,NA,1195.67428899757,773.0595966943904,NA,5525.904631293736,NA,0.998049,-0.46939,6.67,34.003656307129795,65.9963436928702,"6 months"
204,"Balb/C","-","F","tp3",NA,958.0904205859011,NA,NA,20.158076737164773,NA,989.8344632542295,-0.11493,1.02145,33.96,100,0,"12 months"
205,"Balb/C","-","F","tp1",625.275813667905,1052.27299163254,1002.4670704947156,597.9640794814047,12.4929981763091,5058.120124337259,1158.578842,5.49663,0.731407,14.19,100,0,"1 month"
205,"Balb/C","-","F","tp2",1378.1376171443806,NA,948.507016923562,821.9540319722655,NA,7809.105746699227,NA,1.50872,0.968794,1.15,90.32258064516128,9.67741935483871,"6 months"
205,"Balb/C","-","F","tp3",NA,1277.2263157127445,NA,NA,9.669875978586425,NA,3806.64803906513,1.27501,0.190322,15.15,52.368064952638704,47.631935047361296,"12 months"
206,"Balb/C","-","F","tp1",441.60498443871103,815.177893709367,1353.34410802731,420.77548082708205,23.685792500734,4847.97852233467,491.7334791,NA,NA,0,100,0,"1 month"
206,"Balb/C","-","F","tp2",844.2326873132872,NA,782.6007716779,629.8170026871632,NA,4501.379846583349,NA,-0.507532,-0.102732,5.7,NA,NA,"6 months"
206,"Balb/C","-","F","tp3",NA,1132.450188535408,NA,NA,20.641463275059884,NA,1414.275610108601,2.31272,1.21074,44.52,NA,NA,"12 months"
207,"Balb/C","-","F","tp1",504.886014525436,1063.04447450731,1331.7338131384354,557.9388759854124,18.3514027680101,5820.321244191293,903.4746414,5.70971,-0.92815,20.89,100,0,"1 month"
207,"Balb/C","-","F","tp2",407.90012858872,NA,936.655660521696,479.1320722747454,NA,4781.760547908901,NA,0.740933,0.436651,40.37,92.69841269841267,7.301587301587302,"6 months"
207,"Balb/C","-","F","tp3",NA,595.420106063173,NA,NA,17.52773039379638,NA,1092.3366258898966,1.54937,1.43254,0,2.066115702479339,97.93388429752065,"12 months"
216,"Balb/C","+","F","tp1",413.632632314732,968.076022636194,1054.2024103681792,514.7983222705584,25.8041060314448,4123.159851723707,1087.187611,5.41232,0.500064,16.26,28.7146529562982,71.2853470437018,"1 month"
216,"Balb/C","+","F","tp2",659.586916270186,NA,1041.06346018171,366.50775561382113,NA,6349.860384885177,NA,0.0449064,-0.0677128,47.15,NA,NA,"6 months"
216,"Balb/C","+","F","tp3",NA,1326.146125353695,NA,NA,23.871265450488863,NA,3113.018819801753,-0.387322,-0.825915,9,53.48913759052007,46.51086240947992,"12 months"
217,"Balb/C","+","F","tp1",536.130974670293,590.001425298057,1122.8421184923836,736.4436571587194,23.1401694515716,3458.118836599372,687.320124,5.94107,2.03038,58.19,100,0,"1 month"
217,"Balb/C","+","F","tp2",886.031280524178,NA,1020.44319543767,612.6857949535736,NA,6508.099303353323,NA,-0.791527,1.21421,14.33,100,0,"6 months"
217,"Balb/C","+","F","tp3",NA,932.827313190744,NA,NA,16.44883973330177,NA,892.8679137717085,0.896468,-0.24627,3.89,86.60245183887916,13.39754816112084,"12 months"
218,"Balb/C","+","F","tp1",463.895370397023,1182.92177050296,1203.937421154891,633.4764794695377,14.4237129709515,4389.129836472814,1099.744973,5.35745,0.354142,21.56,18.591442635365397,81.40855736463459,"1 month"
218,"Balb/C","+","F","tp2",518.8676196212667,NA,975.257111338471,346.56760052299876,NA,3789.4260225475296,NA,0.877633,-0.385109,5.7,NA,NA,"6 months"
218,"Balb/C","+","F","tp3",NA,1168.4890734727257,NA,NA,39.49235982670288,NA,3626.741014582964,1.25593,0.0601699,43.63,18.372093023255808,81.62790697674417,"12 months"
219,"Balb/C","+","F","tp1",621.1869100962,931.244189869099,1143.8637973862344,564.4129088108511,10.3771719590554,3407.422944081387,625.3507249,5.22958,1.67122,58.85,65.43452615021629,34.565473849783714,"1 month"
219,"Balb/C","+","F","tp2",602.4104912998396,NA,1176.68400748021,411.91031015296977,NA,4980.91958993191,NA,0.707029,-0.0851546,2,15.99592460519613,84.00407539480386,"6 months"
219,"Balb/C","+","F","tp3",NA,1540.4597183943604,NA,NA,52.814537750529645,NA,7629.330483529257,NA,NA,2.04,5.4829339143064635,94.51706608569354,"12 months"
